date,blog,keyword,seed,axis,score,source,event
2026-08-02,B,라식 라섹 비용 해결 방법,라식 라섹 비용,오류/문제해결,52.0,bank,
2026-08-02,B,장례식장 비용 해결 방법,장례식장 비용,오류/문제해결,52.0,bank,
2026-08-02,B,보일러 교체 비용 해결 방법,보일러 교체 비용,오류/문제해결,52.0,bank,
2026-08-02,C,안마의자 고장,안마의자,오류/문제해결,52.0,bank,
2026-08-02,C,매트리스 고장,매트리스,오류/문제해결,52.0,bank,
2026-08-02,C,골프채 계산 방법,골프채,계산/금액,44.0,bank,
2026-08-02,D,전세자금대출 오류 해결,전세자금대출,오류/문제해결,81.2,bank,
2026-08-02,D,주택담보대출 전화번호,주택담보대출,연락처/창구,78.1,bank,
2026-08-03,N,국민연금 신청 실패,국민연금,오류/문제해결,48.8,bank,
2026-08-03,N,퇴직금 신청 실패,퇴직금,오류/문제해결,48.8,bank,
2026-08-03,N,기초연금 구비서류,기초연금,준비물/서류,46.9,bank,
2026-08-03,A,2학기 국가장학금 신청 실패,2학기 국가장학금,오류/문제해결,122.9,calendar,2학기 국가장학금 신청
2026-08-03,A,2학기 국가장학금 안될 때,2학기 국가장학금,오류/문제해결,122.9,calendar,2학기 국가장학금 신청
2026-08-03,A,2026 세법개정안 문의처,2026 세법개정안,연락처/창구,130.5,calendar,세제개편안 발표
2026-08-03,B,태풍 대비 하는 법,태풍 대비,방법/절차,94.7,calendar,태풍 대비
2026-08-03,B,항공권 최저가 얼마,항공권 최저가,계산/금액,110.1,calendar,휴가철 항공권 특가
2026-08-03,B,온열질환 해결 방법,온열질환,오류/문제해결,116.9,calendar,폭염 온열질환
2026-08-03,B,임플란트 비용 계산 방법,임플란트 비용,계산/금액,55.0,bank,
2026-08-03,B,허리디스크 치료 계산 방법,허리디스크 치료,계산/금액,55.0,bank,
2026-08-03,B,자동차 보험료 절약 계산 방법,자동차 보험료 절약,계산/금액,55.0,bank,
2026-08-03,B,중고차 시세 해결 방법,중고차 시세,오류/문제해결,52.0,bank,
2026-08-03,C,에어컨 전기요금 비교,에어컨 전기요금,비교/대안,94.6,calendar,여름 전기요금 폭탄
2026-08-03,C,안마의자 AS,안마의자,오류/문제해결,52.0,bank,
2026-08-03,C,매트리스 AS,매트리스,오류/문제해결,52.0,bank,
2026-08-03,D,전세자금대출 신청 실패,전세자금대출,오류/문제해결,81.2,bank,
2026-08-03,D,주택담보대출 문의처,주택담보대출,연락처/창구,78.1,bank,
2026-08-04,N,국민연금 조회 안됨,국민연금,오류/문제해결,48.8,bank,
2026-08-04,N,퇴직금 조회 안됨,퇴직금,오류/문제해결,48.8,bank,
2026-08-04,N,기초연금 신분증,기초연금,준비물/서류,46.9,bank,
2026-08-04,A,2학기 국가장학금 오류 해결,2학기 국가장학금,오류/문제해결,124.6,calendar,2학기 국가장학금 신청
2026-08-04,A,2026 세법개정안 위치,2026 세법개정안,연락처/창구,130.5,calendar,세제개편안 발표
2026-08-04,A,2026 세법개정안 전화번호,2026 세법개정안,연락처/창구,130.5,calendar,세제개편안 발표
2026-08-04,B,항공권 최저가 하는 법,항공권 최저가,방법/절차,102.7,calendar,휴가철 항공권 특가
2026-08-04,B,허리디스크 치료 비용,허리디스크 치료,계산/금액,55.0,bank,
2026-08-04,B,자동차 보험료 절약 비용,자동차 보험료 절약,계산/금액,55.0,bank,
2026-08-04,B,임플란트 비용 하는 법,임플란트 비용,방법/절차,50.0,bank,
2026-08-04,B,비염 치료 해결 방법,비염 치료,오류/문제해결,48.8,bank,
2026-08-04,B,라식 라섹 비용 계산 방법,라식 라섹 비용,계산/금액,44.0,bank,
2026-08-04,B,장례식장 비용 계산 방법,장례식장 비용,계산/금액,44.0,bank,
2026-08-04,C,골프채 취소 방법,골프채,오류/문제해결,52.0,bank,
2026-08-04,C,안마의자 얼마,안마의자,계산/금액,44.0,bank,
2026-08-04,C,매트리스 얼마,매트리스,계산/금액,44.0,bank,
2026-08-04,D,전세자금대출 조회 안됨,전세자금대출,오류/문제해결,81.2,bank,
2026-08-04,D,주택담보대출 접수처,주택담보대출,연락처/창구,78.1,bank,
2026-08-05,N,국민연금 취소 방법,국민연금,오류/문제해결,48.8,bank,
2026-08-05,N,퇴직금 취소 방법,퇴직금,오류/문제해결,48.8,bank,
2026-08-05,N,기초연금 고객센터,기초연금,연락처/창구,46.9,bank,
2026-08-05,A,고유가 지원금 신청 실패,고유가 지원금,오류/문제해결,109.9,calendar,고유가 피해지원금 포인트 사용 마감
2026-08-05,A,2학기 국가장학금 조회 안됨,2학기 국가장학금,오류/문제해결,126.3,calendar,2학기 국가장학금 신청
2026-08-05,A,에어컨 전기요금 준비물,에어컨 전기요금,준비물/서류,128.5,calendar,여름 전기요금 폭탄
2026-08-05,B,온열질환 하는 법,온열질환,방법/절차,95.3,calendar,폭염 온열질환
2026-08-05,B,허리디스크 치료 하는 법,허리디스크 치료,방법/절차,50.0,bank,
2026-08-05,B,임플란트 비용 사용법,임플란트 비용,방법/절차,50.0,bank,
2026-08-05,B,자동차 보험료 절약 하는 법,자동차 보험료 절약,방법/절차,50.0,bank,
2026-08-05,B,보일러 교체 비용 얼마,보일러 교체 비용,계산/금액,44.0,bank,
2026-08-05,B,중고차 시세 얼마,중고차 시세,계산/금액,44.0,bank,
2026-08-05,B,비염 치료 얼마,비염 치료,계산/금액,41.2,bank,
2026-08-05,C,에어컨 전기요금 추천,에어컨 전기요금,비교/대안,97.0,calendar,여름 전기요금 폭탄
2026-08-05,C,항공권 최저가 비교,항공권 최저가,비교/대안,95.0,calendar,휴가철 항공권 특가
2026-08-05,C,골프채 고장,골프채,오류/문제해결,52.0,bank,
2026-08-05,D,전세자금대출 취소 방법,전세자금대출,오류/문제해결,81.2,bank,
2026-08-05,D,주택담보대출 위치,주택담보대출,연락처/창구,78.1,bank,
2026-08-06,N,기초연금 안될 때,기초연금,오류/문제해결,48.8,bank,
2026-08-06,N,4대보험 계산 안될 때,4대보험 계산,오류/문제해결,48.8,bank,
2026-08-06,N,국민연금 고객센터,국민연금,연락처/창구,46.9,bank,
2026-08-06,A,2학기 국가장학금 취소 방법,2학기 국가장학금,오류/문제해결,128.1,calendar,2학기 국가장학금 신청
2026-08-06,A,에어컨 전기요금 계산 방법,에어컨 전기요금,계산/금액,115.0,calendar,여름 전기요금 폭탄
2026-08-06,A,에어컨 전기요금 얼마,에어컨 전기요금,계산/금액,115.0,calendar,여름 전기요금 폭탄
2026-08-06,B,허리디스크 치료 사용법,허리디스크 치료,방법/절차,50.0,bank,
2026-08-06,B,자동차 보험료 절약 사용법,자동차 보험료 절약,방법/절차,50.0,bank,
2026-08-06,B,임플란트 비용 비교,임플란트 비용,비교/대안,45.0,bank,
2026-08-06,B,보일러 교체 비용 계산 방법,보일러 교체 비용,계산/금액,44.0,bank,
2026-08-06,B,중고차 시세 계산 방법,중고차 시세,계산/금액,44.0,bank,
2026-08-06,B,비염 치료 계산 방법,비염 치료,계산/금액,41.2,bank,
2026-08-06,B,라식 라섹 비용 하는 법,라식 라섹 비용,방법/절차,40.0,bank,
2026-08-06,C,골프채 AS,골프채,오류/문제해결,52.0,bank,
2026-08-06,C,안마의자 계산 방법,안마의자,계산/금액,44.0,bank,
2026-08-06,C,매트리스 계산 방법,매트리스,계산/금액,44.0,bank,
2026-08-06,D,주택담보대출 안될 때,주택담보대출,오류/문제해결,81.2,bank,
2026-08-06,D,전세자금대출 고객센터,전세자금대출,연락처/창구,78.1,bank,
2026-08-07,N,기초연금 오류 해결,기초연금,오류/문제해결,48.8,bank,
2026-08-07,N,4대보험 계산 오류 해결,4대보험 계산,오류/문제해결,48.8,bank,
2026-08-07,N,국민연금 전화번호,국민연금,연락처/창구,46.9,bank,
2026-08-07,A,고유가 지원금 안될 때,고유가 지원금,오류/문제해결,114.3,calendar,고유가 피해지원금 포인트 사용 마감
2026-08-07,A,2학기 국가장학금 고객센터,2학기 국가장학금,연락처/창구,125.5,calendar,2학기 국가장학금 신청
2026-08-07,A,에어컨 전기요금 하는 법,에어컨 전기요금,방법/절차,106.0,calendar,여름 전기요금 폭탄
2026-08-07,B,허리디스크 치료 비교,허리디스크 치료,비교/대안,45.0,bank,
2026-08-07,B,임플란트 비용 차이,임플란트 비용,비교/대안,45.0,bank,
2026-08-07,B,자동차 보험료 절약 비교,자동차 보험료 절약,비교/대안,45.0,bank,
2026-08-07,B,중고차 시세 비용,중고차 시세,계산/금액,44.0,bank,
2026-08-07,B,비염 치료 비용,비염 치료,계산/금액,41.2,bank,
2026-08-07,B,라식 라섹 비용 사용법,라식 라섹 비용,방법/절차,40.0,bank,
2026-08-07,B,장례식장 비용 하는 법,장례식장 비용,방법/절차,40.0,bank,
2026-08-07,C,안마의자 가격,안마의자,계산/금액,44.0,bank,
2026-08-07,C,매트리스 가격,매트리스,계산/금액,44.0,bank,
2026-08-07,C,골프채 하는 법,골프채,방법/절차,40.0,bank,
2026-08-07,D,주택담보대출 오류 해결,주택담보대출,오류/문제해결,81.2,bank,
2026-08-07,D,전세자금대출 전화번호,전세자금대출,연락처/창구,78.1,bank,
2026-08-08,N,기초연금 신청 실패,기초연금,오류/문제해결,48.8,bank,
2026-08-08,N,4대보험 계산 신청 실패,4대보험 계산,오류/문제해결,48.8,bank,
2026-08-08,N,국민연금 문의처,국민연금,연락처/창구,46.9,bank,
2026-08-08,A,실업급여 신청 실패,실업급여,오류/문제해결,124.9,calendar,실업급여 신청
2026-08-08,A,실업급여 안될 때,실업급여,오류/문제해결,124.9,calendar,실업급여 신청
2026-08-08,A,2학기 국가장학금 구비서류,2학기 국가장학금,준비물/서류,127.2,calendar,2학기 국가장학금 신청
2026-08-08,B,광복절 대체공휴일 준비물,광복절 대체공휴일,준비물/서류,112.8,calendar,광복절 대체공휴일
2026-08-08,B,허리디스크 치료 차이,허리디스크 치료,비교/대안,45.0,bank,
2026-08-08,B,자동차 보험료 절약 차이,자동차 보험료 절약,비교/대안,45.0,bank,
2026-08-08,B,장례식장 비용 사용법,장례식장 비용,방법/절차,40.0,bank,
2026-08-08,B,보일러 교체 비용 하는 법,보일러 교체 비용,방법/절차,40.0,bank,
2026-08-08,B,중고차 시세 하는 법,중고차 시세,방법/절차,40.0,bank,
2026-08-08,B,층간소음 해결 방법,층간소음,오류/문제해결,39.0,bank,
2026-08-08,C,안마의자 비용,안마의자,계산/금액,44.0,bank,
2026-08-08,C,매트리스 비용,매트리스,계산/금액,44.0,bank,
2026-08-08,C,골프채 사용법,골프채,방법/절차,40.0,bank,
2026-08-08,D,주택담보대출 신청 실패,주택담보대출,오류/문제해결,81.2,bank,
2026-08-08,D,전세자금대출 문의처,전세자금대출,연락처/창구,78.1,bank,
2026-08-09,N,기초연금 조회 안됨,기초연금,오류/문제해결,48.8,bank,
2026-08-09,N,4대보험 계산 조회 안됨,4대보험 계산,오류/문제해결,48.8,bank,
2026-08-09,N,국민연금 접수처,국민연금,연락처/창구,46.9,bank,
2026-08-09,A,고유가 지원금 오류 해결,고유가 지원금,오류/문제해결,118.6,calendar,고유가 피해지원금 포인트 사용 마감
2026-08-09,A,실업급여 오류 해결,실업급여,오류/문제해결,126.6,calendar,실업급여 신청
2026-08-09,A,2학기 국가장학금 문의처,2학기 국가장학금,연락처/창구,128.8,calendar,2학기 국가장학금 신청
2026-08-09,B,자동차세 납부 신청 실패,자동차세 납부,오류/문제해결,118.9,calendar,자동차세 연납
2026-08-09,B,보일러 교체 비용 사용법,보일러 교체 비용,방법/절차,40.0,bank,
2026-08-09,B,중고차 시세 사용법,중고차 시세,방법/절차,40.0,bank,
2026-08-09,B,자동차 검사 해결 방법,자동차 검사,오류/문제해결,39.0,bank,
2026-08-09,B,알뜰폰 요금제 해결 방법,알뜰폰 요금제,오류/문제해결,39.0,bank,
2026-08-09,B,인터넷 결합할인 해결 방법,인터넷 결합할인,오류/문제해결,39.0,bank,
2026-08-09,B,비염 치료 하는 법,비염 치료,방법/절차,37.5,bank,
2026-08-09,C,골프채 가격,골프채,계산/금액,44.0,bank,
2026-08-09,C,안마의자 하는 법,안마의자,방법/절차,40.0,bank,
2026-08-09,C,매트리스 하는 법,매트리스,방법/절차,40.0,bank,
2026-08-09,D,주택담보대출 조회 안됨,주택담보대출,오류/문제해결,81.2,bank,
2026-08-09,D,전세자금대출 접수처,전세자금대출,연락처/창구,78.1,bank,
2026-08-10,N,기초연금 취소 방법,기초연금,오류/문제해결,48.8,bank,
2026-08-10,N,4대보험 계산 취소 방법,4대보험 계산,오류/문제해결,48.8,bank,
2026-08-10,N,국민연금 위치,국민연금,연락처/창구,46.9,bank,
2026-08-10,A,실업급여 조회 안됨,실업급여,오류/문제해결,128.3,calendar,실업급여 신청
2026-08-10,A,실업급여 취소 방법,실업급여,오류/문제해결,128.3,calendar,실업급여 신청
2026-08-10,A,2학기 국가장학금 신분증,2학기 국가장학금,준비물/서류,130.5,calendar,2학기 국가장학금 신청
2026-08-10,B,개학 준비 계산 방법,개학 준비,계산/금액,104.2,calendar,2학기 개학
2026-08-10,B,자동차세 납부 안될 때,자동차세 납부,오류/문제해결,120.6,calendar,자동차세 연납
2026-08-10,B,광복절 대체공휴일 계산 방법,광복절 대체공휴일,계산/금액,103.7,calendar,광복절 대체공휴일
2026-08-10,B,건강검진 항목 해결 방법,건강검진 항목,오류/문제해결,39.0,bank,
2026-08-10,B,이사비용 견적 해결 방법,이사비용 견적,오류/문제해결,39.0,bank,
2026-08-10,B,입주청소 비용 해결 방법,입주청소 비용,오류/문제해결,39.0,bank,
2026-08-10,B,비염 치료 사용법,비염 치료,방법/절차,37.5,bank,
2026-08-10,C,골프채 비용,골프채,계산/금액,44.0,bank,
2026-08-10,C,안마의자 사용법,안마의자,방법/절차,40.0,bank,
2026-08-10,C,매트리스 사용법,매트리스,방법/절차,40.0,bank,
2026-08-10,D,주택담보대출 취소 방법,주택담보대출,오류/문제해결,81.2,bank,
2026-08-10,D,전세자금대출 위치,전세자금대출,연락처/창구,78.1,bank,
2026-08-11,N,여행자보험 안될 때,여행자보험,오류/문제해결,48.8,bank,
2026-08-11,N,퇴직금 고객센터,퇴직금,연락처/창구,46.9,bank,
2026-08-11,N,기초연금 전화번호,기초연금,연락처/창구,46.9,bank,
2026-08-11,A,고유가 지원금 조회 안됨,고유가 지원금,오류/문제해결,122.9,calendar,고유가 피해지원금 포인트 사용 마감
2026-08-11,A,실업급여 고객센터,실업급여,연락처/창구,125.8,calendar,실업급여 신청
2026-08-11,A,에어컨 전기요금 차이,에어컨 전기요금,비교/대안,97.0,calendar,여름 전기요금 폭탄
2026-08-11,B,도배 장판 비용 해결 방법,도배 장판 비용,오류/문제해결,39.0,bank,
2026-08-11,B,누수 탐지 비용 해결 방법,누수 탐지 비용,오류/문제해결,39.0,bank,
2026-08-11,B,전기차 충전요금 해결 방법,전기차 충전요금,오류/문제해결,39.0,bank,
2026-08-11,B,라식 라섹 비용 비교,라식 라섹 비용,비교/대안,36.0,bank,
2026-08-11,B,장례식장 비용 비교,장례식장 비용,비교/대안,36.0,bank,
2026-08-11,B,보일러 교체 비용 비교,보일러 교체 비용,비교/대안,36.0,bank,
2026-08-11,B,중고차 시세 비교,중고차 시세,비교/대안,36.0,bank,
2026-08-11,C,로봇청소기 취소 방법,로봇청소기,오류/문제해결,39.0,bank,
2026-08-11,C,노트북 취소 방법,노트북,오류/문제해결,39.0,bank,
2026-08-11,C,안마의자 비교,안마의자,비교/대안,36.0,bank,
2026-08-11,D,신용대출 안될 때,신용대출,오류/문제해결,81.2,bank,
2026-08-11,D,개인회생 고객센터,개인회생,연락처/창구,78.1,bank,
2026-08-12,N,여행자보험 오류 해결,여행자보험,오류/문제해결,48.8,bank,
2026-08-12,N,퇴직금 전화번호,퇴직금,연락처/창구,46.9,bank,
2026-08-12,N,기초연금 문의처,기초연금,연락처/창구,46.9,bank,
2026-08-12,A,실업급여 구비서류,실업급여,준비물/서류,127.5,calendar,실업급여 신청
2026-08-12,A,실업급여 문의처,실업급여,연락처/창구,127.5,calendar,실업급여 신청
2026-08-12,A,개학 준비 준비물,개학 준비,준비물/서류,119.8,calendar,2학기 개학
2026-08-12,B,개학 준비 얼마,개학 준비,계산/금액,107.1,calendar,2학기 개학
2026-08-12,B,자동차세 납부 오류 해결,자동차세 납부,오류/문제해결,124.1,calendar,자동차세 연납
2026-08-12,B,광복절 대체공휴일 얼마,광복절 대체공휴일,계산/금액,106.6,calendar,광복절 대체공휴일
2026-08-12,B,라식 라섹 비용 차이,라식 라섹 비용,비교/대안,36.0,bank,
2026-08-12,B,장례식장 비용 차이,장례식장 비용,비교/대안,36.0,bank,
2026-08-12,B,보일러 교체 비용 차이,보일러 교체 비용,비교/대안,36.0,bank,
2026-08-12,B,중고차 시세 차이,중고차 시세,비교/대안,36.0,bank,
2026-08-12,C,로봇청소기 고장,로봇청소기,오류/문제해결,39.0,bank,
2026-08-12,C,노트북 고장,노트북,오류/문제해결,39.0,bank,
2026-08-12,C,안마의자 차이,안마의자,비교/대안,36.0,bank,
2026-08-12,D,신용대출 오류 해결,신용대출,오류/문제해결,81.2,bank,
2026-08-12,D,개인회생 전화번호,개인회생,연락처/창구,78.1,bank,
2026-08-13,N,여행자보험 신청 실패,여행자보험,오류/문제해결,48.8,bank,
2026-08-13,N,퇴직금 문의처,퇴직금,연락처/창구,46.9,bank,
2026-08-13,N,기초연금 접수처,기초연금,연락처/창구,46.9,bank,
2026-08-13,A,추석 기차표 예매 신청 실패,추석 기차표 예매,오류/문제해결,124.9,calendar,KTX 추석 기차표 예매 시작
2026-08-13,A,추석 기차표 예매 안될 때,추석 기차표 예매,오류/문제해결,124.9,calendar,KTX 추석 기차표 예매 시작
2026-08-13,A,실업급여 신분증,실업급여,준비물/서류,129.2,calendar,실업급여 신청
2026-08-13,B,종합소득세 중간예납 신청 실패,종합소득세 중간예납,오류/문제해결,120.9,calendar,종합소득세 중간예납
2026-08-13,B,개학 준비 하는 법,개학 준비,방법/절차,100.0,calendar,2학기 개학
2026-08-13,B,자동차세 납부 조회 안됨,자동차세 납부,오류/문제해결,125.8,calendar,자동차세 연납
2026-08-13,B,비염 치료 비교,비염 치료,비교/대안,33.8,bank,
2026-08-13,B,층간소음 얼마,층간소음,계산/금액,33.0,bank,
2026-08-13,B,자동차 검사 얼마,자동차 검사,계산/금액,33.0,bank,
2026-08-13,B,알뜰폰 요금제 얼마,알뜰폰 요금제,계산/금액,33.0,bank,
2026-08-13,C,로봇청소기 AS,로봇청소기,오류/문제해결,39.0,bank,
2026-08-13,C,노트북 AS,노트북,오류/문제해결,39.0,bank,
2026-08-13,C,안마의자 추천,안마의자,비교/대안,36.0,bank,
2026-08-13,D,신용대출 신청 실패,신용대출,오류/문제해결,81.2,bank,
2026-08-13,D,개인회생 문의처,개인회생,연락처/창구,78.1,bank,
2026-08-14,N,여행자보험 조회 안됨,여행자보험,오류/문제해결,48.8,bank,
2026-08-14,N,퇴직금 접수처,퇴직금,연락처/창구,46.9,bank,
2026-08-14,N,기초연금 위치,기초연금,연락처/창구,46.9,bank,
2026-08-14,A,추석 기차표 예매 오류 해결,추석 기차표 예매,오류/문제해결,126.6,calendar,KTX 추석 기차표 예매 시작
2026-08-14,A,고유가 지원금 취소 방법,고유가 지원금,오류/문제해결,129.4,calendar,고유가 피해지원금 포인트 사용 마감
2026-08-14,A,실업급여 위치,실업급여,연락처/창구,130.8,calendar,실업급여 신청
2026-08-14,B,종합소득세 중간예납 안될 때,종합소득세 중간예납,오류/문제해결,122.6,calendar,종합소득세 중간예납
2026-08-14,B,광복절 대체공휴일 하는 법,광복절 대체공휴일,방법/절차,100.7,calendar,광복절 대체공휴일
2026-08-14,B,비염 치료 차이,비염 치료,비교/대안,33.8,bank,
2026-08-14,B,층간소음 계산 방법,층간소음,계산/금액,33.0,bank,
2026-08-14,B,자동차 검사 계산 방법,자동차 검사,계산/금액,33.0,bank,
2026-08-14,B,알뜰폰 요금제 계산 방법,알뜰폰 요금제,계산/금액,33.0,bank,
2026-08-14,B,인터넷 결합할인 얼마,인터넷 결합할인,계산/금액,33.0,bank,
2026-08-14,C,에어컨 인버터 정속형 취소 방법,에어컨 인버터 정속형,오류/문제해결,39.0,bank,
2026-08-14,C,공기청정기 취소 방법,공기청정기,오류/문제해결,39.0,bank,
2026-08-14,C,안마의자 순위,안마의자,비교/대안,36.0,bank,
2026-08-14,D,신용대출 조회 안됨,신용대출,오류/문제해결,81.2,bank,
2026-08-14,D,개인회생 접수처,개인회생,연락처/창구,78.1,bank,
2026-08-15,N,여행자보험 취소 방법,여행자보험,오류/문제해결,48.8,bank,
2026-08-15,N,퇴직금 위치,퇴직금,연락처/창구,46.9,bank,
2026-08-15,N,4대보험 계산 고객센터,4대보험 계산,연락처/창구,46.9,bank,
2026-08-15,A,추석 기차표 예매 조회 안됨,추석 기차표 예매,오류/문제해결,128.3,calendar,KTX 추석 기차표 예매 시작
2026-08-15,A,추석 기차표 예매 취소 방법,추석 기차표 예매,오류/문제해결,128.3,calendar,KTX 추석 기차표 예매 시작
2026-08-15,A,실업급여 전화번호,실업급여,연락처/창구,132.5,calendar,실업급여 신청
2026-08-15,B,종합소득세 중간예납 오류 해결,종합소득세 중간예납,오류/문제해결,124.3,calendar,종합소득세 중간예납
2026-08-15,B,자동차세 납부 취소 방법,자동차세 납부,오류/문제해결,129.3,calendar,자동차세 연납
2026-08-15,B,층간소음 비용,층간소음,계산/금액,33.0,bank,
2026-08-15,B,자동차 검사 비용,자동차 검사,계산/금액,33.0,bank,
2026-08-15,B,알뜰폰 요금제 비용,알뜰폰 요금제,계산/금액,33.0,bank,
2026-08-15,B,인터넷 결합할인 계산 방법,인터넷 결합할인,계산/금액,33.0,bank,
2026-08-15,B,건강검진 항목 하는 법,건강검진 항목,방법/절차,30.0,bank,
2026-08-15,C,개학 준비 비교,개학 준비,비교/대안,93.8,calendar,2학기 개학
2026-08-15,C,에어컨 인버터 정속형 고장,에어컨 인버터 정속형,오류/문제해결,39.0,bank,
2026-08-15,C,공기청정기 고장,공기청정기,오류/문제해결,39.0,bank,
2026-08-15,D,신용대출 취소 방법,신용대출,오류/문제해결,81.2,bank,
2026-08-15,D,개인회생 위치,개인회생,연락처/창구,78.1,bank,
2026-08-16,N,4대보험 계산 전화번호,4대보험 계산,연락처/창구,46.9,bank,
2026-08-16,N,여행자보험 고객센터,여행자보험,연락처/창구,46.9,bank,
2026-08-16,N,국민연금 자격 조건,국민연금,자격/조건,43.1,bank,
2026-08-16,A,추석 기차표 예매 고객센터,추석 기차표 예매,연락처/창구,125.8,calendar,KTX 추석 기차표 예매 시작
2026-08-16,A,고유가 지원금 고객센터,고유가 지원금,연락처/창구,129.4,calendar,고유가 피해지원금 포인트 사용 마감
2026-08-16,A,실업급여 접수처,실업급여,연락처/창구,132.5,calendar,실업급여 신청
2026-08-16,B,종합소득세 중간예납 조회 안됨,종합소득세 중간예납,오류/문제해결,126.1,calendar,종합소득세 중간예납
2026-08-16,B,인터넷 결합할인 비용,인터넷 결합할인,계산/금액,33.0,bank,
2026-08-16,B,건강검진 항목 얼마,건강검진 항목,계산/금액,33.0,bank,
2026-08-16,B,이사비용 견적 얼마,이사비용 견적,계산/금액,33.0,bank,
2026-08-16,B,입주청소 비용 얼마,입주청소 비용,계산/금액,33.0,bank,
2026-08-16,B,층간소음 하는 법,층간소음,방법/절차,30.0,bank,
2026-08-16,B,자동차 검사 하는 법,자동차 검사,방법/절차,30.0,bank,
2026-08-16,C,에어컨 인버터 정속형 AS,에어컨 인버터 정속형,오류/문제해결,39.0,bank,
2026-08-16,C,공기청정기 AS,공기청정기,오류/문제해결,39.0,bank,
2026-08-16,C,안마의자 후기,안마의자,비교/대안,36.0,bank,
2026-08-16,D,개인회생 안될 때,개인회생,오류/문제해결,81.2,bank,
2026-08-16,D,신용대출 고객센터,신용대출,연락처/창구,78.1,bank,
2026-08-17,N,4대보험 계산 문의처,4대보험 계산,연락처/창구,46.9,bank,
2026-08-17,N,여행자보험 전화번호,여행자보험,연락처/창구,46.9,bank,
2026-08-17,N,국민연금 대상자,국민연금,자격/조건,43.1,bank,
2026-08-17,A,추석 기차표 예매 구비서류,추석 기차표 예매,준비물/서류,127.5,calendar,KTX 추석 기차표 예매 시작
2026-08-17,A,추석 기차표 예매 문의처,추석 기차표 예매,연락처/창구,127.5,calendar,KTX 추석 기차표 예매 시작
2026-08-17,A,근로장려금 지급 신청 실패,근로장려금 지급,오류/문제해결,129.8,calendar,근로장려금 지급
2026-08-17,B,종합소득세 중간예납 취소 방법,종합소득세 중간예납,오류/문제해결,127.8,calendar,종합소득세 중간예납
2026-08-17,B,건강검진 항목 계산 방법,건강검진 항목,계산/금액,33.0,bank,
2026-08-17,B,이사비용 견적 계산 방법,이사비용 견적,계산/금액,33.0,bank,
2026-08-17,B,입주청소 비용 계산 방법,입주청소 비용,계산/금액,33.0,bank,
2026-08-17,B,도배 장판 비용 얼마,도배 장판 비용,계산/금액,33.0,bank,
2026-08-17,B,층간소음 사용법,층간소음,방법/절차,30.0,bank,
